אפיק השקעה	מס מסלול	שם מסלול אחיד	שם חברה	חברה מקוצר	סוג חיסכון	סוג קופה	סוג מסלול	ח.פ	שנה	רבעון	תרומה	משקל	תשואה
קרנות סל	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	-0.000283428	0.125875493	-0.002251651
קרנות סל	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	0.010054979	0.122423701	0.082132616
קרנות סל	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	0.017598228	0.120508084	0.146033592
קרנות נאמנות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	-3.89E-05	0.021992252	-0.001767317
קרנות נאמנות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	0.000351951	0.021678031	0.0162354
קרנות נאמנות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	0.001228355	0.020864007	0.058874368
קרנות השקעה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	-0.000116103	0.028048832	-0.004139303
קרנות השקעה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	0.002177989	0.029381299	0.074128401
קרנות השקעה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	0.002772268	0.028632878	0.09682114
כתבי אופציה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	1.90E-07	1.45E-05	0.013069466
כתבי אופציה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	-2.43E-06	9.63E-06	-0.252406602
כתבי אופציה	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	5.73E-05	1.66E-05	3.452535687
חוזים עתידיים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	0.000400018	4.08E-05	9.813738216
חוזים עתידיים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	0.018513026	-4.88E-05	-379.3199363
חוזים עתידיים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	0.029301627	0.003077212	9.522134342
אופציות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	-3.75E-05	0.000901237	-0.041660994
אופציות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	0.001010069	0.000736909	1.370684101
אופציות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	0.001677766	0.001111712	1.509173364
מוצרים מובנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	-9.25E-06	0.003975149	-0.00232648
מוצרים מובנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	8.94E-05	0.003896017	0.022937552
מוצרים מובנים	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	8.93E-05	0.003754624	0.023784982
הלוואות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	-2.09E-05	0.023921935	-0.000875272
הלוואות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	0.000811874	0.022247164	0.03649336
הלוואות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	0.000986486	0.020248011	0.048720157
"נדל""ן"	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	1.09E-05	0.0036159	0.003025012
"נדל""ן"	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	2	-0.000125903	0.003390306	-0.037136061
"נדל""ן"	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	3	-8.40E-05	0.003139698	-0.026748031
השקעות אחרות	13303	מנורה מבטחים פנסיה יעד לפרישה 2065	מנורה מבטחים פנסיה וגמל	מנורה	פנסיה	גילאי 50 ומטה	פנסיה מקיפה	512245812	2025	1	-6.22E-06	0.002208532	-0.002818166
